                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.2000000000000000E+001          1.3999999999999999E+000          9.5893752148130875E+002                       "gfortran"                         "13.1.0"                               ""                       "20240218" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          3.7720560129177333E+006          9.5893752147903217E+002          9.7199999999846159E+002          0.0000000000000000E+000          5.3578101341980071E+000          4.5924086864554340E+001          4.9193908663652408E+000          0.0000000000000000E+000          5.4998891881373447E+002          2.1015389336135098E+002         -9.9105547275938610E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411933127E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411933127E+053         -5.7495666454183482E+027          0.0000000000000000E+000         -5.7495666454183482E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          5.0468208989448929E+006          9.5893752147826228E+002          9.7199999999794136E+002          0.0000000000000000E+000          5.3578101341994406E+000          4.5924086864566632E+001          5.1331499649511585E+000          0.0000000000000000E+000          5.4998891881344002E+002          2.1015389336123849E+002         -9.9066681202227580E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411909988E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411909988E+053         -5.7495666454291619E+027          0.0000000000000000E+000         -5.7495666454291619E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          6.2526061906657461E+006          9.5893752147753378E+002          9.7199999999744921E+002          0.0000000000000000E+000          5.3578101342007987E+000          4.5924086864578264E+001          5.3632027399384867E+000          0.0000000000000000E+000          5.4998891881316149E+002          2.1015389336113208E+002         -9.9024852582209844E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411888108E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411888108E+053         -5.7495666454394951E+027          0.0000000000000000E+000         -5.7495666454394951E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          7.3507157578773685E+006          9.5893752147687007E+002          9.7199999999700071E+002          0.0000000000000000E+000          5.3578101342020332E+000          4.5924086864588865E+001          5.6059883175982632E+000          0.0000000000000000E+000          5.4998891881290785E+002          2.1015389336103510E+002         -9.8980708860517008E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411868167E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411868167E+053         -5.7495666454489663E+027          0.0000000000000000E+000         -5.7495666454489663E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          8.3380418584498046E+006          9.5893752147627413E+002          9.7199999999659781E+002          0.0000000000000000E+000          5.3578101342031426E+000          4.5924086864598372E+001          5.8612788870640031E+000          0.0000000000000000E+000          5.4998891881267991E+002          2.1015389336094802E+002         -9.8934291458141133E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411850252E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411850252E+053         -5.7495666454575029E+027          0.0000000000000000E+000         -5.7495666454575029E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          9.2167576179836150E+006          9.5893752147574378E+002          9.7199999999623947E+002          0.0000000000000000E+000          5.3578101342041311E+000          4.5924086864606842E+001          6.1282176046159309E+000          0.0000000000000000E+000          5.4998891881247721E+002          2.1015389336087054E+002         -9.8885756167988281E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411834309E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411834309E+053         -5.7495666454651038E+027          0.0000000000000000E+000         -5.7495666454651038E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          9.9947650462790057E+006          9.5893752147527346E+002          9.7199999999592171E+002          0.0000000000000000E+000          5.3578101342050077E+000          4.5924086864614345E+001          6.4049923758416805E+000          0.0000000000000000E+000          5.4998891881229736E+002          2.1015389336080182E+002         -9.8835432468408047E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411820188E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411820188E+053         -5.7495666454718361E+027          0.0000000000000000E+000         -5.7495666454718361E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          1.0686892251758263E+007          9.5893752147485498E+002          9.7199999999563897E+002          0.0000000000000000E+000          5.3578101342057867E+000          4.5924086864621025E+001          6.6936947391183796E+000          0.0000000000000000E+000          5.4998891881213740E+002          2.1015389336074074E+002         -9.8782940072033554E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411807614E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411807614E+053         -5.7495666454778295E+027          0.0000000000000000E+000         -5.7495666454778295E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          1.1303506487482382E+007          9.5893752147448356E+002          9.7199999999538784E+002          0.0000000000000000E+000          5.3578101342064786E+000          4.5924086864626958E+001          6.9936878680188856E+000          0.0000000000000000E+000          5.4998891881199518E+002          2.1015389336068637E+002         -9.8728394767820860E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411796436E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411796436E+053         -5.7495666454831479E+027          0.0000000000000000E+000         -5.7495666454831479E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          1.1854333494663794E+007          9.5893752147415046E+002          9.7199999999516285E+002          0.0000000000000000E+000          5.3578101342070976E+000          4.5924086864632272E+001          7.3055185695273979E+000          0.0000000000000000E+000          5.4998891881186785E+002          2.1015389336063774E+002         -9.8671697134315106E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411786432E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411786432E+053         -5.7495666454879088E+027          0.0000000000000000E+000         -5.7495666454879088E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             100          1.2350719511044655E+007          9.5893752147385010E+002          9.7199999999495981E+002          0.0000000000000000E+000          5.3578101342076572E+000          4.5924086864637069E+001          7.6316006598404558E+000          0.0000000000000000E+000          5.4998891881175314E+002          2.1015389336059386E+002         -9.8612408287001763E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411777414E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411777414E+053         -5.7495666454921947E+027          0.0000000000000000E+000         -5.7495666454921947E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          1.2800523396579245E+007          9.5893752147357839E+002          9.7199999999477632E+002          0.0000000000000000E+000          5.3578101342081643E+000          4.5924086864641410E+001          7.9704176716052419E+000          0.0000000000000000E+000          5.4998891881164911E+002          2.1015389336055418E+002         -9.8550803952772936E-001         -1.0000000000000000E+000          1.2000000000000000E+001          1.3999999999999997E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          8.6449551411769247E+053          0.0000000000000000E+000          0.0000000000000000E+000          8.6449551411769247E+053         -5.7495666454960748E+027          0.0000000000000000E+000         -5.7495666454960748E+027          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
